month,stock,marketcap,rank,excess_returns
2001-10-31T00:00:00Z,SBUX,6,81,0.143724214
2001-11-30T00:00:00Z,SBUX,6,81,0.03334572
2001-12-31T00:00:00Z,GILD,6,81,-0.091377873
2002-01-31T00:00:00Z,GILD,6,81,-0.005975637
2002-02-28T00:00:00Z,MON,7,81,-0.071567868
2002-03-29T00:00:00Z,HAL,7,81,0.033237195
2002-04-30T00:00:00Z,PEP,8,81,0.105565669
2002-05-31T00:00:00Z,A,7,81,-0.046831168
2002-06-28T00:00:00Z,GILD,6,81,-0.079253974
2002-07-31T00:00:00Z,SPG,6,81,-0.024551665
2002-08-30T00:00:00Z,HAL,6,81,0.150095761
2002-09-30T00:00:00Z,ACN,6,81,NA
2002-10-31T00:00:00Z,YUM,6,81,-0.188344118
2002-11-29T00:00:00Z,A,7,81,-0.004528697
2002-12-31T00:00:00Z,PEP,7,81,-0.105967373
2017-01-31T00:00:00Z,DE,34,81,0.038517227
2017-02-28T00:00:00Z,DE,34,81,0.022393358
2017-03-31T00:00:00Z,APC,34,81,-0.040528162
2017-04-28T00:00:00Z,PX,35,81,0.053296226
2017-05-31T00:00:00Z,EBAY,37,81,0.026040411
2017-06-30T00:00:00Z,EBAY,37,81,0.017474901
2017-07-31T00:00:00Z,HAL,36,81,-0.007024309
2017-08-31T00:00:00Z,EXC,36,81,-0.004532069
2017-09-29T00:00:00Z,PX,39,81,0.067762891
2017-10-31T00:00:00Z,EXC,38,81,0.066527807
2017-11-30T00:00:00Z,HAL,36,81,-0.023262696
2017-12-29T00:00:00Z,EBAY,39,81,0.087649871
2018-01-31T00:00:00Z,TGT,40,81,0.151697161
2018-02-28T00:00:00Z,BAX,36,81,-0.059964215
2018-03-30T00:00:00Z,TGT,37,81,-0.08050019
2018-04-30T00:00:00Z,BAX,37,81,0.067174206
2018-05-31T00:00:00Z,BAX,37,81,0.020614557
2018-06-29T00:00:00Z,EBAY,36,81,-0.040107645
2018-07-31T00:00:00Z,EBAY,33,81,-0.079094042
2018-08-31T00:00:00Z,APC,32,81,-0.121220113
2018-09-28T00:00:00Z,EBAY,32,81,-0.047439899
2018-10-31T00:00:00Z,FCX,16,81,-0.161656035
2018-11-30T00:00:00Z,FCX,17,81,0.023087154
2018-12-31T00:00:00Z,FCX,14,81,-0.138431365
2019-01-31T00:00:00Z,A,12,81,0.25792639
2019-02-28T00:00:00Z,A,12,81,0.009167542
2019-03-29T00:00:00Z,A,13,81,0.042706443
2019-04-30T00:00:00Z,A,12,81,-0.045972775
2019-05-31T00:00:00Z,A,9,81,-0.209939712
2019-06-28T00:00:00Z,A,10,81,0.109437289
2019-07-31T00:00:00Z,NOV,9,81,0.069628092
2019-08-30T00:00:00Z,NOV,7,81,-0.143916132
2019-09-30T00:00:00Z,NOV,8,81,0.038128746
2019-10-31T00:00:00Z,A,8,81,-0.146116862
2019-11-29T00:00:00Z,NWSA,5,81,-0.061708183
2019-12-31T00:00:00Z,NWSA,5,81,0.096353839
1999-12-31T00:00:00Z,GILD,2,82,NA
2000-01-31T00:00:00Z,EOG,1,82,-0.098522883
2000-02-29T00:00:00Z,PEP,2,82,-0.194686625
2000-03-31T00:00:00Z,CELG,2,82,-0.40311432
2000-04-28T00:00:00Z,EOG,2,82,0.170871781
2000-05-31T00:00:00Z,BIIB,2,82,-0.007934358
2000-06-30T00:00:00Z,CELG,3,82,0.598034004
2000-07-31T00:00:00Z,EOG,3,82,-0.121369872
2000-08-31T00:00:00Z,GILD,4,82,0.45198675
2000-09-29T00:00:00Z,PEP,4,82,-0.057570604
2000-10-31T00:00:00Z,EOG,4,82,0.008129758
2000-11-30T00:00:00Z,EOG,4,82,0.072670699
2000-12-29T00:00:00Z,YUM,4,82,NA
2001-01-31T00:00:00Z,YUM,5,82,0.086098356
2001-02-28T00:00:00Z,YUM,5,82,0.065052741
2001-03-30T00:00:00Z,PEP,5,82,-0.061728978
2001-04-30T00:00:00Z,EOG,5,82,0.122310313
2001-05-31T00:00:00Z,AAPL,6,82,-0.220535358
2001-06-29T00:00:00Z,GILD,5,82,0.121654618
2001-07-31T00:00:00Z,AAPL,6,82,-0.194834547
2001-08-31T00:00:00Z,GILD,5,82,0.18054688
2001-09-28T00:00:00Z,SBUX,5,82,-0.117206105
2001-10-31T00:00:00Z,PEP,6,82,0.006723149
2001-11-30T00:00:00Z,PEP,6,82,-0.045365494
2001-12-31T00:00:00Z,A,6,82,0.191537892
2002-01-31T00:00:00Z,A,6,82,-0.027154506
2002-02-28T00:00:00Z,PEP,7,82,0.076771772
2002-03-29T00:00:00Z,A,7,82,0.076996058
2002-04-30T00:00:00Z,AAPL,8,82,0.023830488
2002-05-31T00:00:00Z,BIIB,6,82,-0.220876355
2002-06-28T00:00:00Z,SPG,6,82,0.079998457
2002-07-31T00:00:00Z,HAL,5,82,-0.173388455
2002-08-30T00:00:00Z,GILD,6,82,0.051434452
2002-09-30T00:00:00Z,SPG,6,82,0.002526657
2002-10-31T00:00:00Z,GILD,6,82,0.034685276
2002-11-29T00:00:00Z,NKE,7,82,-0.052271385
2002-12-31T00:00:00Z,COF,6,82,-0.121818867
2003-01-31T00:00:00Z,GILD,6,82,0.025474092
2003-02-28T00:00:00Z,ACN,6,82,-0.074043905
2003-03-31T00:00:00Z,ACN,6,82,0.009482595
2003-04-30T00:00:00Z,ACN,6,82,0.032470346
2003-05-30T00:00:00Z,ACN,7,82,0.092755303
2003-06-30T00:00:00Z,ACN,7,82,0.031556931
2003-07-31T00:00:00Z,ACN,8,82,0.072842977
2003-08-29T00:00:00Z,YUM,8,82,-0.010073382
2003-09-30T00:00:00Z,YUM,8,82,-0.001793256
2003-10-31T00:00:00Z,NKE,10,82,0.049941226
2003-11-28T00:00:00Z,HAL,10,82,-0.017669827
2008-01-31T00:00:00Z,NOV,21,82,-0.182608457
2008-02-29T00:00:00Z,CELG,22,82,0.004045904
2016-01-29T00:00:00Z,HAL,27,82,-0.066196468
2016-02-29T00:00:00Z,PX,28,82,0.017700697
2016-03-31T00:00:00Z,EXC,31,82,0.138573576
2016-04-29T00:00:00Z,PX,33,82,0.026198627
2016-05-31T00:00:00Z,PX,31,82,-0.064804161
2016-06-30T00:00:00Z,PX,32,82,0.029788122
2016-07-29T00:00:00Z,EXC,34,82,0.025102898
2016-08-31T00:00:00Z,PX,34,82,0.046995156
2016-09-30T00:00:00Z,EMR,35,82,0.034539215
2016-10-31T00:00:00Z,APC,33,82,-0.062063905
2016-11-30T00:00:00Z,EMR,36,82,0.123970235
2016-12-30T00:00:00Z,EMR,35,82,-0.012525758
2017-01-31T00:00:00Z,EBAY,34,82,0.071677779
2017-02-28T00:00:00Z,EXC,33,82,0.032278924
2017-03-31T00:00:00Z,EXC,33,82,-0.020186663
2017-04-28T00:00:00Z,EXC,32,82,-0.038020212
2017-05-31T00:00:00Z,EXC,33,82,0.058162588
2017-06-30T00:00:00Z,EXC,34,82,-0.007209042
2017-07-31T00:00:00Z,EXC,36,82,0.062232065
2017-08-31T00:00:00Z,HAL,33,82,-0.082662852
2017-09-29T00:00:00Z,EXC,36,82,-0.006180498
2017-10-31T00:00:00Z,HAL,37,82,-0.072372682
2017-11-30T00:00:00Z,EBAY,36,82,-0.079705443
2017-12-29T00:00:00Z,EXC,37,82,-0.056042744
2018-01-31T00:00:00Z,BAX,38,82,0.113224683
2018-02-28T00:00:00Z,EXC,35,82,-0.030204729
2018-03-30T00:00:00Z,BAX,34,82,-0.039451692
2018-04-30T00:00:00Z,EBAY,37,82,-0.060046828
2018-05-31T00:00:00Z,EBAY,37,82,-0.005623591
2018-06-29T00:00:00Z,FCX,25,82,0.019895512
2018-07-31T00:00:00Z,FCX,23,82,-0.042846943
2018-08-31T00:00:00Z,FCX,20,82,-0.150078035
2018-09-28T00:00:00Z,FCX,20,82,-0.01079217
2018-10-31T00:00:00Z,NOV,14,82,-0.147673254
2018-11-30T00:00:00Z,A,13,82,-0.073172548
2018-12-31T00:00:00Z,NOV,9,82,-0.200204406
2019-01-31T00:00:00Z,NOV,11,82,0.144982407
2019-02-28T00:00:00Z,NOV,10,82,-0.04724915
2019-03-29T00:00:00Z,NOV,10,82,-0.053464767
2019-04-30T00:00:00Z,NOV,10,82,-0.020863749
2019-05-31T00:00:00Z,NOV,8,82,-0.204475473
2019-06-28T00:00:00Z,NOV,8,82,0.066958841
2019-07-31T00:00:00Z,A,9,82,-0.150188909
2019-08-30T00:00:00Z,NWSA,5,82,0.043238491
2019-09-30T00:00:00Z,NWSA,5,82,0.01754926
2019-10-31T00:00:00Z,NWSA,5,82,-0.016558324
1999-12-31T00:00:00Z,PEP,2,83,NA
2000-01-31T00:00:00Z,NOV,1,83,0.191139317
2000-02-29T00:00:00Z,EOG,1,83,-0.043694117
2000-03-31T00:00:00Z,GILD,2,83,-0.176281344
2000-04-28T00:00:00Z,BIIB,2,83,-0.35319939
2000-05-31T00:00:00Z,CELG,2,83,-0.224121624
2000-06-30T00:00:00Z,GILD,3,83,0.296562838
2000-07-31T00:00:00Z,CELG,3,83,-0.122635494
2000-08-31T00:00:00Z,PEP,4,83,0.03383358
2000-09-29T00:00:00Z,CELG,3,83,-0.201045981
2000-10-31T00:00:00Z,CELG,4,83,0.076336901
2000-11-30T00:00:00Z,CELG,3,83,-0.118691568
2000-12-29T00:00:00Z,SPG,4,83,0.041299628
2001-01-31T00:00:00Z,PEP,5,83,-0.025810373
2001-02-28T00:00:00Z,PEP,5,83,0.030852371
2001-03-30T00:00:00Z,EOG,4,83,-0.058561945
2001-04-30T00:00:00Z,PEP,5,83,0.049035842
2001-05-31T00:00:00Z,EOG,5,83,-0.035530301
2001-06-29T00:00:00Z,SPG,5,83,0.102280944
2001-07-31T00:00:00Z,EOG,4,83,-0.00746149
2001-08-31T00:00:00Z,A,5,83,-0.099734223
2001-09-28T00:00:00Z,AAPL,5,83,-0.166708339
2001-10-31T00:00:00Z,AAPL,6,83,0.129974428
2001-11-30T00:00:00Z,A,5,83,-0.106876596
2001-12-31T00:00:00Z,PEP,6,83,0.056312424
2002-01-31T00:00:00Z,PEP,6,83,-0.020533062
2002-02-28T00:00:00Z,AAPL,7,83,-0.123477109
2002-03-29T00:00:00Z,PEP,7,83,0.040168271
2002-04-30T00:00:00Z,HAL,7,83,-0.006202438
2002-05-31T00:00:00Z,GILD,6,83,0.144471291
2002-06-28T00:00:00Z,AAPL,6,83,-0.240805617
2002-07-31T00:00:00Z,GILD,5,83,-0.074789401
2002-08-30T00:00:00Z,SPG,6,83,0.003024172
2002-09-30T00:00:00Z,PEP,6,83,-0.199743457
2002-10-31T00:00:00Z,ACN,6,83,0.180688601
2002-11-29T00:00:00Z,ACN,7,83,0.139269129
2002-12-31T00:00:00Z,GILD,6,83,-0.138603692
2003-01-31T00:00:00Z,ACN,6,83,-0.081023611
2003-02-28T00:00:00Z,SPG,6,83,0.077474031
2003-03-31T00:00:00Z,SPG,6,83,0.033338983
2003-04-30T00:00:00Z,SPG,6,83,0.023841871
2003-05-30T00:00:00Z,SPG,6,83,0.039744687
2003-06-30T00:00:00Z,SPG,7,83,0.036490013
2003-07-31T00:00:00Z,SPG,8,83,0.084366051
2003-08-29T00:00:00Z,SPG,8,83,0.022284113
2003-09-30T00:00:00Z,SPG,8,83,0.019559697
2003-10-31T00:00:00Z,SPG,8,83,0.033715126
2003-11-28T00:00:00Z,YUM,10,83,0.009560601
2003-12-31T00:00:00Z,NKE,11,83,0.020339433
2004-01-30T00:00:00Z,GILD,11,83,-0.060237356
2004-02-27T00:00:00Z,ACN,11,83,-0.02469793
2004-03-31T00:00:00Z,YUM,11,83,0.025052281
2004-04-30T00:00:00Z,YUM,11,83,0.020252632
2004-05-31T00:00:00Z,ACN,12,83,0.034756436
2004-06-30T00:00:00Z,AAPL,12,83,0.158849328
2004-07-30T00:00:00Z,AAPL,12,83,-0.007148698
2004-08-31T00:00:00Z,HAL,12,83,-0.078415168
2004-09-30T00:00:00Z,ACN,13,83,0.035284772
2004-10-29T00:00:00Z,YUM,12,83,0.071292685
2004-11-30T00:00:00Z,YUM,13,83,0.042180199
2004-12-31T00:00:00Z,PX,14,83,-0.015092577
2006-01-31T00:00:00Z,DHR,17,83,0.011917541
2006-02-28T00:00:00Z,EOG,16,83,-0.206143648
2006-03-31T00:00:00Z,ACN,17,83,-0.083009712
2006-04-28T00:00:00Z,ACN,16,83,-0.036850249
2008-01-31T00:00:00Z,CELG,21,83,0.212138756
2008-02-29T00:00:00Z,ACN,21,83,0.01689107
2015-12-31T00:00:00Z,HAL,29,83,-0.14208945
2016-01-29T00:00:00Z,EXC,27,83,0.064716773
2016-02-29T00:00:00Z,EBAY,28,83,0.014291392
2016-03-31T00:00:00Z,HAL,30,83,0.106367324
2016-04-29T00:00:00Z,EXC,31,83,-0.021572368
2016-05-31T00:00:00Z,EXC,30,83,-0.014679784
